Work Place,Branch,Region
Nurse On Call (Midlands),Mullingar,Dublin North East
Nurse On Call (North Eastern Region),Monaghan,Dublin North East
Oakview Nursing Home (Cavan),Cavan,Dublin North East
Oberstown House (Dept.Of Justice),Dublin Northern Branch,Dublin North East
Oldtown Health Centre (Hse),Dublin Northern Branch,Dublin North East
Order Of Malta (Drogheda),Drogheda,Dublin North East
Oriel House,Monaghan,Dublin North East
Orpea Ireland (Meath),Meath,Dublin North East
Our Lady Of Lourdes Hospital,Drogheda,Dublin North East
Our Lady's Manor Nursing Home Edgeworthstown,Longford,Dublin North East
Our Ladys Hospital(Navan),Meath,Dublin North East
Our Ladys Manor Nursing Home (Longford),Longford,Dublin North East
Ozanam Day Centre(Co Louth),Drogheda,Dublin North East
Parkview  Nursing Home,Cavan,Dublin North East
Portiuncula Nursing Home,Mullingar,Dublin North East
Portmarnock Health Centre (Hse),Dublin Northern Branch,Dublin North East
Quarry Road Health Centre (Hse),Dublin Northern Branch,Dublin North East
Quinn Health Care,Dublin Northern Branch,Dublin North East
Quintiles Ireland Ltd,Dublin Northern Branch,Dublin North East
Raheny Community Nursing Unit (Part Of Beaumont Hosp.,Dublin Northern Branch,Dublin North East
Raheny House Nursing Home,Dublin Northern Branch,Dublin North East
Rathborne Nursing Home,Dublin Northern Branch,Dublin North East
Rathdown Health Centre (Hse),Dublin Northern Branch,Dublin North East
Ratoath Manor Nursing Home,Meath,Dublin North East
Rcsi Hospital Group,Dublin Northern Branch,Dublin North East
Redwood Care Facility,Meath,Dublin North East
Resilience Care (North East),Monaghan,Dublin North East
Riverside Nursing Home,Dublin Northern Branch,Dublin North East
Rose Lodge Nursing Home,Mullingar,Dublin North East
Roselawn Health Centre,Dublin Northern Branch,Dublin North East
Rotunda Hospital,Dublin Northern Branch,Dublin North East
Rush Health Centre (Hse),Dublin Northern Branch,Dublin North East
Rush Nursing Home (Mowlam Group),Dublin Northern Branch,Dublin North East
Sacred Heart Nursing Home(Clones),Monaghan,Dublin North East
Sacred Heart Residence (Nursing Home),Dublin Northern Branch,Dublin North East
Sancta Maria Nursing Home,Meath,Dublin North East
Santa Sabina Nursing Home,Dublin Northern Branch,Dublin North East
Santa Sebina House Nursing Home,Dublin Northern Branch,Dublin North East
Scottish Nursing Guild (North East),Cavan,Dublin North East
Seamus Ennis Road Health Centre (Hse),Dublin Northern Branch,Dublin North East
Sean Carra Community Unit(Erh-North,Dublin Northern Branch,Dublin North East
Servisource (North East),Dundalk,Dublin North East
Sheelin Nursing Home,Cavan,Dublin North East
Shrewsbury Nursing Home,Dublin Northern Branch,Dublin North East
Silver Stream (Dundalk) Nursing Home,Dundalk,Dublin North East
Silver Stream Healthcare (Clontarf Private N/H),Dublin Northern Branch,Dublin North East
Silver Stream Healthcare (St. Pappins N/H),Dublin Northern Branch,Dublin North East
Silvergrove Nursing Home,Meath,Dublin North East
Sims Clinic (Swords),Dublin Northern Branch,Dublin North East
Skerries Health Centre (Hse),Dublin Northern Branch,Dublin North East
Sonas Care Centre,Athlone,Dublin North East
South Westmeath Hospice,Athlone,Dublin North East
Special Care Unit( Hse-North East),Meath,Dublin North East
Sports Surgery Clinic(Dublin 9),Dublin Northern Branch,Dublin North East
St Attracta's Nursing Home,Castlebar,Dublin North East
St Brendans Hospital(Grangegorman),Dublin Northern Branch,Dublin North East
St Bricins Military Hosp.,Dublin Northern Branch,Dublin North East
St Brigids Hospital(Ardee),Drogheda,Dublin North East
St Christophers Centre (Longford),Longford,Dublin North East
St Christophers Hospice,Cavan,Dublin North East
St Clairs Nursing Home (Mullingar),Mullingar,Dublin North East
St Clare's Nursing Home,Dublin Northern Branch,Dublin North East
St Clares Home (Ballymun),Dublin Northern Branch,Dublin North East
St Colmcilles Nursing Home,Meath,Dublin North East
St Columbans Nursing Home (Navan),Meath,Dublin North East
St Doolaghs Park Care &Rehabilitation Centre,Dublin Northern Branch,Dublin North East
St Elizabeths Nursing Home,Meath,Dublin North East
St Francis Hospice - Blanchardstown,Dublin Northern Branch,Dublin North East
St Francis Hospice - Raheny,Dublin Northern Branch,Dublin North East
St Francis Nursing Home (Dundalk),Dundalk,Dublin North East
St Francis Priv.Hosp.(Mullingar),Mullingar,Dublin North East
St Gabriels Nursing Home,Dublin Northern Branch,Dublin North East
St Hildas Services,Athlone,Dublin North East
St Joseph's Id Services - Portrane - (St Ita'S),Dublin Northern Branch,Dublin North East
St Joseph's Nursing Home (Ballybay Monaghan),Monaghan,Dublin North East
St Josephs Care Centre (Longford),Longford,Dublin North East
St Josephs Home (Ardee),Drogheda,Dublin North East
St Josephs Hospital .Raheny (Part Of Beaumont Hosp),Dublin Northern Branch,Dublin North East
St Josephs Hospital (Trim),Meath,Dublin North East
St Josephs Nursing Home (Virginia),Cavan,Dublin North East
St Josephs School For The Blind,Dublin Northern Branch,Dublin North East
St Lomans (Mullingar),Mullingar,Dublin North East
St Marys Centre (Delvin),Mullingar,Dublin North East
St Marys Centre(Drumcar),Drogheda,Dublin North East
St Marys Hospital(Castleblaney),Monaghan,Dublin North East
St Marys Hospital(Drogheda),Drogheda,Dublin North East
St Marys Hospital(Phoenix Park),Dublin Northern Branch,Dublin North East
St Marys Ortho.Hospital (Baldoyle),Dublin Northern Branch,Dublin North East
St Michaels House,Dublin Northern Branch,Dublin North East
St Monica's Nursing Home (Dublin),Dublin Northern Branch,Dublin North East
St Oliver Plunkett Hospital(Dundalk,Dundalk,Dublin North East
St Patrick's Nursing Home (Cowper Care),Dublin Northern Branch,Dublin North East
St Pauls Hospital (Part Of Mater Hosp),Dublin Northern Branch,Dublin North East
St Peters Centre(Castlepollard),Mullingar,Dublin North East
St Peters Nursing Home (Castlebellingham),Dundalk,Dublin North East
St Ursulas Nursing Home,Meath,Dublin North East
St Vincents Care Centre,Athlone,Dublin North East
St Vincents Hospital(Fairview),Dublin Northern Branch,Dublin North East
Summerhill Health Centre (Hse),Dublin Northern Branch,Dublin North East
Sunhill Nursing Home,Drogheda,Dublin North East
Swords Health Centre,Dublin Northern Branch,Dublin North East
Swords Health Centre (Women's Aid Hse),Dublin Northern Branch,Dublin North East
Swords Nursing Home (Mowlam Group),Dublin Northern Branch,Dublin North East
Talbot Lodge Nursing Home (Malahide),Dublin Northern Branch,Dublin North East
Talbot Nursing Home (Stamullen),Meath,Dublin North East
Tara Winthrop Nursing Home,Dublin Northern Branch,Dublin North East
Tcp Homecare (North East),Drogheda,Dublin North East
The Clinic Medical Practice-(Kinnegad),Mullingar,Dublin North East
The Granby Centre,Dublin Northern Branch,Dublin North East
The Meridian Clinic (Ongar),Dublin Northern Branch,Dublin North East
The Peter Mc Verry Trust,Dublin Northern Branch,Dublin North East
Thomond Lodge Retirement Village,Longford,Dublin North East
Tlc Carton,Dublin Northern Branch,Dublin North East
Tlc Nursing Home Santry,Dublin Northern Branch,Dublin North East
Tonlagee Phcc (Edenmore Health Centre (Hse)),Dublin Northern Branch,Dublin North East
Vhi Nurse Line,Meath,Dublin North East
Vhi Swift Clinic (Dcu),Dublin Northern Branch,Dublin North East
Virginia Health Care Centre,Cavan,Dublin North East
Watergate Medical Centre (Gp Practice),Meath,Dublin North East
Well Woman Centre (Coolock),Dublin Northern Branch,Dublin North East
Wellmount Health Centre (Hse),Dublin Northern Branch,Dublin North East
Wilson Hospital School - (Mullingar),Mullingar,Dublin North East
Winfield Nursing Home,Meath,Dublin North East
Woodlands House Nursing Home,Meath,Dublin North East
Wyeth Ireland Ltd,Dublin Northern Branch,Dublin North East
24 Hour Care Services (Mid-West),Clare,"Mid-West, West and North West"
24 Hour Care Services (North West),Sligo,"Mid-West, West and North West"
24 Hour Care Services (West),Galway,"Mid-West, West and North West"
Abbey Haven Nursing Home,Roscommon,"Mid-West, West and North West"
Abbeybreaffy Nursing Home (Castlebar),Castlebar,"Mid-West, West and North West"
Abbot Close Nursing Home,Limerick,"Mid-West, West and North West"
Abbvie Ireland (West),Galway,"Mid-West, West and North West"
Ability West (Galway),Galway,"Mid-West, West and North West"
Adare & District Nursing Home,Limerick,"Mid-West, West and North West"
Alzheimer Society (Mid Western Region),Clare,"Mid-West, West and North West"
Alzheimer Society (Watermans Lodge Care Centre),Clare,"Mid-West, West and North West"
Alzheimers Society,Ballina,"Mid-West, West and North West"
An Teaghlach Uilinn,Galway,"Mid-West, West and North West"
Aperee Living (Millrace Nursing Home),Ballinasloe,"Mid-West, West and North West"
Aperee Living Galway,Galway,"Mid-West, West and North West"
Aras Attracta (Swinford),Ballina,"Mid-West, West and North West"
Aras Chois Fharragh Nursing Home,Galway,"Mid-West, West and North West"
Aras Deirbhle Nursing Unit,Ballina,"Mid-West, West and North West"
Aras Goath Dobhair Private Nursing Home,Letterkenny,"Mid-West, West and North West"
Aras Mac Dara (Carraroe),Galway,"Mid-West, West and North West"
Aras Mhathair Phoil (Castlerea),Roscommon,"Mid-West, West and North West"
Aras Mhic Shuibhne (Nursing Home),Letterkenny,"Mid-West, West and North West"
Aras Ronain Nursing Unit-(Aran Is),Galway,"Mid-West, West and North West"
Aras Ui Dhomhnaill,Letterkenny,"Mid-West, West and North West"
Ard Aoibhinn Centre-Carndonagh-Nw,Inishowen,"Mid-West, West and North West"
Ard Greine Court,Letterkenny,"Mid-West, West and North West"
Ardeen Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
Ards Nursing Home,Letterkenny,"Mid-West, West and North West"
Arus Breffini(Welfare-Manorhamilton,Leitrim,"Mid-West, West and North West"
Arus Carolan Nursing Unit,Leitrim,"Mid-West, West and North West"
Arus Goath Dobhair Nursing Home,Inishowen,"Mid-West, West and North West"
Arus Mhuire Community Nursing Unit (Tuam),Galway,"Mid-West, West and North West"
Asthma Society Of Ireland (Leitrim/Sligo),Leitrim,"Mid-West, West and North West"
Athlunkard House Nursing Home,Clare,"Mid-West, West and North West"
Aughinish Alumina,Limerick,"Mid-West, West and North West"
Ave Maria Nursing Home,Castlebar,"Mid-West, West and North West"
Avista (Lisnagry),Limerick,"Mid-West, West and North West"
Avista (Roscrea),Tipperary-North-Mwhb,"Mid-West, West and North West"
Baileys Nursing Home,Sligo,"Mid-West, West and North West"
Ballina Beveages,Ballina,"Mid-West, West and North West"
Ballina District Hospital,Ballina,"Mid-West, West and North West"
Ballina-Unknown,Ballina,"Mid-West, West and North West"
Ballinamore Nursing Unit,Leitrim,"Mid-West, West and North West"
Ballinasloe Cnu,Ballinasloe,"Mid-West, West and North West"
Ballinasloe-Unknown,Ballinasloe,"Mid-West, West and North West"
Ballinderry Nursing Home (Ballinasloe),Ballinasloe,"Mid-West, West and North West"
Ballymacool Respite House(Hse-N.West),Letterkenny,"Mid-West, West and North West"
Ballymote Community Nursing Unit,Sligo,"Mid-West, West and North West"
Ballyshannon Cnu,South Donegal,"Mid-West, West and North West"
Ballytivnan Resource Centre,Sligo,"Mid-West, West and North West"
Ballytrim House,Letterkenny,"Mid-West, West and North West"
Beach Hill Manor (Private Nursing Home),Letterkenny,"Mid-West, West and North West"
Beech Lodge Care Facility,Limerick,"Mid-West, West and North West"
Beechwood Nursing Home,Limerick,"Mid-West, West and North West"
Belmullet District Hospital,Ballina,"Mid-West, West and North West"
Blackrocks Private Retirement Home,Ballina,"Mid-West, West and North West"
Bluebird Care (Mayo),Castlebar,"Mid-West, West and North West"
Bluebird Care (Roscommon),Roscommon,"Mid-West, West and North West"
Bluebird Home Care,Limerick,"Mid-West, West and North West"
Bon Secours Hospital (Galway),Galway,"Mid-West, West and North West"
Bon Secours Hospital Limerick,Limerick,"Mid-West, West and North West"
Brampton Care Home,Galway,"Mid-West, West and North West"
Brindley Healthcare,Letterkenny,"Mid-West, West and North West"
Brookvale Manor Nursing Home,Castlebar,"Mid-West, West and North West"
Bros Of Chariry(Woodlands Centre),Galway,"Mid-West, West and North West"
Bros Of Charity - Bawnmore Centre,Limerick,"Mid-West, West and North West"
Bros Of Charity (Athenry),Galway,"Mid-West, West and North West"
Bros Of Charity (Kilcolgan),Galway,"Mid-West, West and North West"
Bros Of Charity Services (Ennis),Clare,"Mid-West, West and North West"
Bros Of Charity-Briar Hill-Galway,Galway,"Mid-West, West and North West"
Bros Of Charity-Bruach-Na-Mara-Galw,Galway,"Mid-West, West and North West"
Bros Of Charity-Cherry House(Roscommon),Roscommon,"Mid-West, West and North West"
Bros Of Charity-Cranog-Galway,Galway,"Mid-West, West and North West"
Bros Of Charity-Four Seasons-Galway,Galway,"Mid-West, West and North West"
Bros Of Charity-Newcastle-Galway,Galway,"Mid-West, West and North West"
Bros Of Charity-Roscommon,Roscommon,"Mid-West, West and North West"
Bros Of Charity-Rosedale School-Galw,Galway,"Mid-West, West and North West"
Bros Of Charity-St Senans Centre,Limerick,"Mid-West, West and North West"
Bros Of Charity-Stepping Stone-Galw,Galway,"Mid-West, West and North West"
Bros Of Charity(Fairland Pk-Galway),Galway,"Mid-West, West and North West"
Bros Of Charity(Kilcornan Centre),Galway,"Mid-West, West and North West"
Bros.Of Charity(Gort),Galway,"Mid-West, West and North West"
Brothers Of Charity (Ballinasloe),Ballinasloe,"Mid-West, West and North West"
Brothers Of Charity(Pope John Paul),Galway,"Mid-West, West and North West"
Brothers Of Charity(Renmore Centre),Galway,"Mid-West, West and North West"
Buncrana Medical Centre (Gp Practice),Inishowen,"Mid-West, West and North West"
Buncrana Nursing Unit,Inishowen,"Mid-West, West and North West"
Bundoran Residential Unit(Nwhb),South Donegal,"Mid-West, West and North West"
Bushfield Care Centre- (Formerly Oranmore Care Centre),Galway,"Mid-West, West and North West"
Caherass Nursing Home,Limerick,"Mid-West, West and North West"
Cahercalla Community Hospital,Clare,"Mid-West, West and North West"
Caiseal Gael Teach Altranais (Castlegar Nursing Home),Galway,"Mid-West, West and North West"
Camhs,Galway,"Mid-West, West and North West"
Cancer Care West,Galway,"Mid-West, West and North West"
Carebright (Limerick),Limerick,"Mid-West, West and North West"
Carna Nursing Home,Galway,"Mid-West, West and North West"
Carndonagh Community Hospital,Inishowen,"Mid-West, West and North West"
Carrigoran House,Clare,"Mid-West, West and North West"
Cashel-Na-Car Centre(Hse-North West,Inishowen,"Mid-West, West and North West"
Castlebar-Unknown,Castlebar,"Mid-West, West and North West"
Castleturvin Nursing Home (Athenry),Galway,"Mid-West, West and North West"
Catherine Mc Auley House (Limerick),Limerick,"Mid-West, West and North West"
Cellaboibhinn Group Home,South Donegal,"Mid-West, West and North West"
Central Park Private Nursing Home (Ballinasloe),Ballinasloe,"Mid-West, West and North West"
Centric Health (Limerick),Limerick,"Mid-West, West and North West"
Cheshire Home (Ballina),Ballina,"Mid-West, West and North West"
Cheshire Home (Newcastlewest),Limerick,"Mid-West, West and North West"
Cheshire Home (Sligo),Sligo,"Mid-West, West and North West"
Cheshire Ireland (Donegal),Letterkenny,"Mid-West, West and North West"
Child & Family Agency (Tusla) - Western Region,Galway,"Mid-West, West and North West"
Child & Family Agency-Tusla (Letterkenny),Letterkenny,"Mid-West, West and North West"
Child & Family Agency-Tusla- (Limerick),Limerick,"Mid-West, West and North West"
Cill Aoibhinn,Letterkenny,"Mid-West, West and North West"
Clare-Unknown,Clare,"Mid-West, West and North West"
Claremont Nursing Home,Castlebar,"Mid-West, West and North West"
Clarinbridge Nursing Home,Galway,"Mid-West, West and North West"
Clifden District Hospital,Galway,"Mid-West, West and North West"
Clifden Medical Practice,Galway,"Mid-West, West and North West"
Cloonamahon Centre (Sligo),Sligo,"Mid-West, West and North West"
Clover Hill Nursing Home (Sligo),Sligo,"Mid-West, West and North West"
Cnme (Donegal),Letterkenny,"Mid-West, West and North West"
Cnme (Sligo),Sligo,"Mid-West, West and North West"
Cnme Galway,Galway,"Mid-West, West and North West"
Cnme Mayo/Roscommon,Castlebar,"Mid-West, West and North West"
Communicare Healthcare (Tipperary),Tipperary-North-Mwhb,"Mid-West, West and North West"
Communicare Healthcare (Western Region),Ballina,"Mid-West, West and North West"
Community Care Area Ballina,Ballina,"Mid-West, West and North West"
Community Care Area Ballinasloe,Ballinasloe,"Mid-West, West and North West"
Community Care Area Castlebar,Castlebar,"Mid-West, West and North West"
Community Care Area Clare,Clare,"Mid-West, West and North West"
Community Care Area Donegal,Letterkenny,"Mid-West, West and North West"
Community Care Area Galway,Galway,"Mid-West, West and North West"
Community Care Area Inishowen,Inishowen,"Mid-West, West and North West"
Community Care Area Leitrim,Leitrim,"Mid-West, West and North West"
Community Care Area Limerick,Limerick,"Mid-West, West and North West"
Community Care Area Mayo,Ballina,"Mid-West, West and North West"
Community Care Area North West (Ballyshannon),South Donegal,"Mid-West, West and North West"
Community Care Area North West (Carndonagh),Inishowen,"Mid-West, West and North West"
Community Care Area North West (Letterkenny),Letterkenny,"Mid-West, West and North West"
Community Care Area Roscommon,Roscommon,"Mid-West, West and North West"
Community Care Area Sligo,Sligo,"Mid-West, West and North West"
Community Care Area Tipperary North,Tipperary-North-Mwhb,"Mid-West, West and North West"
Compaq Computer Company,Galway,"Mid-West, West and North West"
Coral Haven Nursing Home,Galway,"Mid-West, West and North West"
Corbally House Nursing Home,Limerick,"Mid-West, West and North West"
Corrandulla Nursing Home,Galway,"Mid-West, West and North West"
Costello's Nursing Home,Roscommon,"Mid-West, West and North West"
Cpl - Mid-West,Limerick,"Mid-West, West and North West"
Cpl (North West),Letterkenny,"Mid-West, West and North West"
Cpl Health Care (West),Galway,"Mid-West, West and North West"
Cregg House - Hse Id Services,Sligo,"Mid-West, West and North West"
Croom Orthopaedic Hospital,Limerick,"Mid-West, West and North West"
Cuala Senior Care Ltd (Horizon Home Care),Roscommon,"Mid-West, West and North West"
Cuan Chaitriona Nursing Home,Castlebar,"Mid-West, West and North West"
Cuan Mhuire (Athenry),Galway,"Mid-West, West and North West"
Curam Altranais,Limerick,"Mid-West, West and North West"
Dalton Community Nursing Unit,Castlebar,"Mid-West, West and North West"
Dean Maxwell Community Unit,Tipperary-North-Mwhb,"Mid-West, West and North West"
Dept Public Health - Health Protection (Cho 3),Limerick,"Mid-West, West and North West"
Donegal Hospice(Hse-North West),Letterkenny,"Mid-West, West and North West"
Donegal Town Community Hospital,South Donegal,"Mid-West, West and North West"
Dr Ulrich Bartels Limited,Castlebar,"Mid-West, West and North West"
Dromahair Primary Care Centre (Gp Practice),Leitrim,"Mid-West, West and North West"
Dromcollogher & District Respite Care Centre,Limerick,"Mid-West, West and North West"
Drumderrig House Nursing Home,Roscommon,"Mid-West, West and North West"
Dungloe District Hospital,Letterkenny,"Mid-West, West and North West"
Duplicate ** Galway  (Private Hospital),Galway,"Mid-West, West and North West"
Eagle Lodge Cardiac Clinic,Limerick,"Mid-West, West and North West"
Ei Electronics (Shannon),Clare,"Mid-West, West and North West"
Employment Health Advisors (Limerick),Limerick,"Mid-West, West and North West"
Enable Ireland (Limerick),Limerick,"Mid-West, West and North West"
Ennis General Hospital,Clare,"Mid-West, West and North West"
Ennis Nursing Home,Clare,"Mid-West, West and North West"
Ennis Road Nursing Facility,Limerick,"Mid-West, West and North West"
Ennistymon District Hospital,Clare,"Mid-West, West and North West"
Falcarragh Nursing Unit,Letterkenny,"Mid-West, West and North West"
Fearna Manor Nursing Home,Roscommon,"Mid-West, West and North West"
Flannerys Nursing Home (Tuam),Galway,"Mid-West, West and North West"
Fresenius Medical Care (Limerick),Limerick,"Mid-West, West and North West"
Friars Lodge Nursing Home,Ballina,"Mid-West, West and North West"
Gallagher House(Hse-North West),Sligo,"Mid-West, West and North West"
Galway Clinic (Private),Galway,"Mid-West, West and North West"
Galway Fertility Clinic,Galway,"Mid-West, West and North West"
Galway Hospice Foundation,Galway,"Mid-West, West and North West"
Galway Traveller Movement,Galway,"Mid-West, West and North West"
Galway University College Hospital,Galway,"Mid-West, West and North West"
Galway-Unknown,Galway,"Mid-West, West and North West"
Garbally Nursing Home (Ballinasloe),Ballinasloe,"Mid-West, West and North West"
Gateway,Sligo,"Mid-West, West and North West"
Good Council Nursing Home,Limerick,"Mid-West, West and North West"
Grange Surgery (Gp Practice),Sligo,"Mid-West, West and North West"
Greenpark Nursing Home,Galway,"Mid-West, West and North West"
Harbour Lights Nursing Home,South Donegal,"Mid-West, West and North West"
Hillcrest Nursing Home,Letterkenny,"Mid-West, West and North West"
Hillside Nursing Home,Ballinasloe,"Mid-West, West and North West"
Holy Family Nursing Home (Ballinasloe),Ballinasloe,"Mid-West, West and North West"
Hospital Of The Assumption,Tipperary-North-Mwhb,"Mid-West, West and North West"
Hse Western Area Psychiatric Nursing Svcs Mayo,Ballina,"Mid-West, West and North West"
Inbhear-Na-Mara Unit(Hse-N.West),South Donegal,"Mid-West, West and North West"
Inishowen Intellectual Disability Services,Inishowen,"Mid-West, West and North West"
Inishowen-Unknown,Inishowen,"Mid-West, West and North West"
Innis Ree Lodge (N/H),Roscommon,"Mid-West, West and North West"
Irish Blood Transfusion Board (Galway),Galway,"Mid-West, West and North West"
Irish Blood Transfusion Board (Limerick),Limerick,"Mid-West, West and North West"
Irish Cancer Society (Galway),Galway,"Mid-West, West and North West"
Irish Cancer Society (Leitrim),Leitrim,"Mid-West, West and North West"
Irish Cancer Society (Letterkenny),Letterkenny,"Mid-West, West and North West"
Irish Cancer Society (Limerick/North Kerry Area),Limerick,"Mid-West, West and North West"
Irish Cancer Society (North West),Letterkenny,"Mid-West, West and North West"
Irish Family Planning Ass.(Galway),Galway,"Mid-West, West and North West"
Irish Wheelchair Association (Galway),Galway,"Mid-West, West and North West"
Jack  & Jill Foundation  (Mid West),Limerick,"Mid-West, West and North West"
Jack & Jill Foundation (North West),Letterkenny,"Mid-West, West and North West"
James Connolly Centre,Inishowen,"Mid-West, West and North West"
Kilcolgan Nursing Home,Galway,"Mid-West, West and North West"
Killeline Nursing Home,Limerick,"Mid-West, West and North West"
Killybegs Community Hospital,South Donegal,"Mid-West, West and North West"
Kingsbridge Private Hospital (Sligo),Sligo,"Mid-West, West and North West"
Lakes Nursing Home (Killaloe),Clare,"Mid-West, West and North West"
Larissa Lodge Nursing Home,Letterkenny,"Mid-West, West and North West"
Leitrim-Unknown,Leitrim,"Mid-West, West and North West"
Letterkenny University Hospital,Letterkenny,"Mid-West, West and North West"
Letterkenny-Unknown,Letterkenny,"Mid-West, West and North West"
Lifford District Hospital,Letterkenny,"Mid-West, West and North West"
Limerick Drug & Alcohol Service,Limerick,"Mid-West, West and North West"
Limerick-Unknown,Limerick,"Mid-West, West and North West"
Lisheen Nursing Home(Limerick),Limerick,"Mid-West, West and North West"
Little Flower Nursing Home,Galway,"Mid-West, West and North West"
Lough Corrib Nursing Home,Galway,"Mid-West, West and North West"
Lough Erril Private Nursing Home,Leitrim,"Mid-West, West and North West"
Loughtown House (Hse-North West),Leitrim,"Mid-West, West and North West"
Maria Goretti Nursing Home,Limerick,"Mid-West, West and North West"
Marian House Respite Home (Mayo),Castlebar,"Mid-West, West and North West"
Marina House Medical Centre (Gp Practice),Galway,"Mid-West, West and North West"
Maryfield Nursing Home (Athenry) - Western Alzheimers,Galway,"Mid-West, West and North West"
Mayo General Hospital,Castlebar,"Mid-West, West and North West"
Mayo- Unknown,Ballina,"Mid-West, West and North West"
Mc Bride Community Nursing Unit,Castlebar,"Mid-West, West and North West"
Meadowlands Nursing Home,Roscommon,"Mid-West, West and North West"
Medtronic (Galway),Galway,"Mid-West, West and North West"
Merlin Park (Unit 5/6) Hospital,Galway,"Mid-West, West and North West"
Merlin Park Hospital,Galway,"Mid-West, West and North West"
Milford Care Centre,Limerick,"Mid-West, West and North West"
Millbrae Lodge Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
Mount Carmel Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
Mowlam Health Care (Limerick),Limerick,"Mid-West, West and North West"
Mowlam Health Care(Clare),Clare,"Mid-West, West and North West"
Mowlam Healthcare - Sligo,Sligo,"Mid-West, West and North West"
Moy Ridge Nursing Home,Ballina,"Mid-West, West and North West"
Moycullen Nursing Home,Galway,"Mid-West, West and North West"
Mystical Rose Nursing Home,Galway,"Mid-West, West and North West"
National Cancer Registry (Ncri) - Limerick,Limerick,"Mid-West, West and North West"
National Screening Service (North West),Letterkenny,"Mid-West, West and North West"
Nazareth House (Sligo),Sligo,"Mid-West, West and North West"
Nazareth House(Lifford),Letterkenny,"Mid-West, West and North West"
Nenagh General Hospital,Tipperary-North-Mwhb,"Mid-West, West and North West"
Nenagh Manor Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
Nestle Wyeth Ireland,Limerick,"Mid-West, West and North West"
New Line Health Centre (Gp Practice),Galway,"Mid-West, West and North West"
North West Hospice Care,Sligo,"Mid-West, West and North West"
North West Parents & Friends,Sligo,"Mid-West, West and North West"
Northern Telecom,Galway,"Mid-West, West and North West"
Nowdoc-(Gp Service- Hse-North West),Letterkenny,"Mid-West, West and North West"
Nurse On Call (Galway),Galway,"Mid-West, West and North West"
Nurse On Call (North West),Letterkenny,"Mid-West, West and North West"
Nurse On Call (Tipperary),Tipperary-North-Mwhb,"Mid-West, West and North West"
Nursing & Midwifery Planning Dev. Unit (Hse-N.We,South Donegal,"Mid-West, West and North West"
O'Dwyers Cheshire Home (Swinford),Castlebar,"Mid-West, West and North West"
Oakwood Nursing Home (Roscommon),Roscommon,"Mid-West, West and North West"
Oughterard Manor,Galway,"Mid-West, West and North West"
Our Ladys Hospital(Ennis),Clare,"Mid-West, West and North West"
Our Ladys Hospital(Manorhamilton),Sligo,"Mid-West, West and North West"
Padre Pio Nursing Home(Thurles),Tipperary-North-Mwhb,"Mid-West, West and North West"
Pfizer Chemicals,Limerick,"Mid-West, West and North West"
Piermount House,Letterkenny,"Mid-West, West and North West"
Pilgrims Rest Nursing Home,Ballina,"Mid-West, West and North West"
Plunkett Home(Boyle),Roscommon,"Mid-West, West and North West"
Portiuncula Hospital,Ballinasloe,"Mid-West, West and North West"
Portumna Retirement Village,Ballinasloe,"Mid-West, West and North West"
Premier Health Clinic (Gp Practice),Tipperary-North-Mwhb,"Mid-West, West and North West"
Queen Of Peace Nursing Home (Mayo),Ballina,"Mid-West, West and North West"
Raheen District Hospital,Clare,"Mid-West, West and North West"
Ramelton Nursing Unit,Letterkenny,"Mid-West, West and North West"
Regina House Nursing Unit(Kilrush),Clare,"Mid-West, West and North West"
Rehab Care (Sligo),Sligo,"Mid-West, West and North West"
Repromed Ireland (West),Galway,"Mid-West, West and North West"
Resilience Care (Clare),Clare,"Mid-West, West and North West"
Resilience Care (Western Region),Galway,"Mid-West, West and North West"
Riverdale Nursing Home,Clare,"Mid-West, West and North West"
Rivervale Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
Roscommon University Hospital,Roscommon,"Mid-West, West and North West"
Roscommon-Unknown,Roscommon,"Mid-West, West and North West"
Rosemount House Nursing Home,Galway,"Mid-West, West and North West"
Rushmore Nursing Home,Galway,"Mid-West, West and North West"
Sacre Coeur Nursing Home,Tipperary-North-Mwhb,"Mid-West, West and North West"
Sacred Heart Home (Castlebar),Castlebar,"Mid-West, West and North West"
Sacred Heart Home (R'Common),Roscommon,"Mid-West, West and North West"
Scariff Medical Centre (Gp),Clare,"Mid-West, West and North West"
Scottish Nursing Guild (Mid-West),Limerick,"Mid-West, West and North West"
Scottish Nursing Guild (North West),Letterkenny,"Mid-West, West and North West"
Scottish Nursing Guild (West),Galway,"Mid-West, West and North West"
Seaview House(Hse-North West),Letterkenny,"Mid-West, West and North West"
Shannon Doc (Limerick),Limerick,"Mid-West, West and North West"
Sligo Medical Practice,Sligo,"Mid-West, West and North West"
Sligo Nursing Home (Mowlam),Sligo,"Mid-West, West and North West"
Sligo University Hospital,Sligo,"Mid-West, West and North West"
Sligo-Unknown,Sligo,"Mid-West, West and North West"
Sonas Nursing Home (Ballina),Ballina,"Mid-West, West and North West"
